-0.712405,-0.0241076,2.047
-0.660881,-0.0181912,2.008
-0.610119,-0.00717256,1.984
-0.565955,-0.00174712,1.961
-0.522192,0.0142643,1.956
-0.48537,0.0196218,1.957
-0.449154,0.0250293,1.961
-0.411752,0.0362201,1.986
-0.369674,0.0417997,1.992
-0.330043,0.0524566,1.982
-0.291484,0.0577608,1.977
-0.246424,0.0680961,1.962
-0.208249,0.0732717,1.956
-0.170962,0.0840996,1.958
-0.132954,0.0945134,1.951
-0.0841884,0.104421,1.936
-0.0469653,0.109569,1.933
-0.0098802,0.120355,1.936
0.0272479,0.125527,1.934
0.0642248,0.130544,1.93
0.107298,0.142114,1.944
0.150803,0.148308,1.956
0.188827,0.159456,1.962
0.232415,0.170643,1.968
0.271509,0.182345,1.979
0.308016,0.186912,1.971
0.353237,0.198873,1.984
0.393744,0.205626,1.998
0.438866,0.217263,2.006
0.483089,0.22293,2.009
